date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage
23/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
26/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
27/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
28/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
29/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
30/08/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
03/09/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
04/09/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
05/09/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
06/09/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
09/09/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
10/09/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
11/09/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
12/09/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
13/09/2013,8.0,8.8,7.2,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
16/09/2013,8.0,8.8,7.2,8.5,8.5,8.5,8.5,8.5,1.284,1.284,1.284,1.284,1.284
17/09/2013,8.5,9.3,7.7,7.7,7.7,7.7,7.7,7.7,1.163,1.163,1.163,1.163,1.163
18/09/2013,7.7,8.4,7.0,8.0,8.0,7.0,7.0,7.667,1.21,1.21,1.058,1.058,1.159
19/09/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
20/09/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
23/09/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
24/09/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
25/09/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
26/09/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
27/09/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
30/09/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
01/10/2013,7.0,7.7,6.3,7.0,7.2,7.0,7.0,7.033,1.058,1.089,1.058,1.058,1.063
02/10/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
03/10/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
04/10/2013,7.0,7.7,6.3,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
07/10/2013,7.0,7.7,6.3,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
